tile_id,tile_dir,role,structure,profile_name,num_input_channels,expected_input_channels,input_channels,has_model_input,has_s2_stack,has_indices,has_rgb,has_qc,has_valid_mask,has_dem,has_soil,has_ground_truth,valid_pixel_fraction,nan_fraction,width,height,status,excluded_reason
0,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 0,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.41225961538461536,0.5877403846153846,256,221,valid,
1,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 1,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.5384615384615384,0.46153846153846156,257,221,valid,
2,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 2,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.5384615384615384,0.46153846153846156,257,221,valid,
3,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 3,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.5384615384615384,0.46153846153846156,257,221,valid,
4,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 4,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.5384615384615384,0.46153846153846156,257,221,valid,
5,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 5,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.37922777611493563,0.6207722238850644,257,221,valid,
6,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 6,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.765625,0.234375,256,220,valid,
7,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 7,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,1.0,0.0,257,220,valid,
8,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 8,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,1.0,0.0,257,220,valid,
9,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 9,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,1.0,0.0,257,220,valid,
10,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 10,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,1.0,0.0,257,220,valid,
11,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 11,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.7042801556420234,0.2957198443579766,257,220,valid,
12,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 12,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.765625,0.234375,256,221,valid,
13,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 13,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,1.0,0.0,257,221,valid,
14,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 14,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,1.0,0.0,257,221,valid,
15,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 15,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,1.0,0.0,257,221,valid,
16,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 16,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,1.0,0.0,257,221,valid,
17,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 17,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.7042801556420234,0.2957198443579766,257,221,valid,
